,element_pair,count,mean,median,std,min,max,range,Q1,Q3,IQR
157,Pt-Te,1,1.242498167927923,1.242498167927923,,1.242498167927923,1.242498167927923,0.0,1.242498167927923,1.242498167927923,0.0
158,Rh-Se,1,0.30965291543775253,0.30965291543775253,,0.30965291543775253,0.30965291543775253,0.0,0.30965291543775253,0.30965291543775253,0.0
159,S-Sb,6,2.4477336233686375,2.512981405555372,0.38926190335742916,1.80907136015846,2.9479754072600457,1.1389040471015857,2.299922931008207,2.6341118930314096,0.3341889620232026
160,S-Sc,2,1.8740982968088018,1.8740982968088018,1.2302458925962025,1.00418308362713,2.7440135099904737,1.7398304263633437,1.439140690217966,2.3090559033996376,0.8699152131816716
161,S-Se,8,2.003881398081503,2.1904792875941026,0.4300374968725598,1.2944246506512027,2.3279280396394992,1.0335033889882965,1.9648549019113537,2.2325593654760287,0.26770446356467503
162,S-Si,1,2.8837959286969523,2.8837959286969523,,2.8837959286969523,2.8837959286969523,0.0,2.8837959286969523,2.8837959286969523,0.0
163,S-Sn,3,2.647080074701581,2.5028473533179536,0.44865650878435814,2.288278398597215,3.150114472189574,0.8618360735923591,2.395562875957584,2.826480912753764,0.43091803679617957
164,S-Te,4,1.371206006790041,1.3613773156052325,0.7575526140061196,0.6970322654699952,2.0650371304797037,1.3680048650097085,0.7252519792826726,2.0073313431126008,1.2820793638299282
165,S-Ti,2,1.7703046870755808,1.7703046870755808,0.6183649305565391,1.3330546514311035,2.207554722720058,0.8745000712889546,1.551679669253342,1.9889297048978194,0.4372500356444773
166,S-Tl,1,1.6440623837972739,1.6440623837972739,,1.6440623837972739,1.6440623837972739,0.0,1.6440623837972739,1.6440623837972739,0.0
167,S-V,1,0.36601747340687923,0.36601747340687923,,0.36601747340687923,0.36601747340687923,0.0,0.36601747340687923,0.36601747340687923,0.0
168,S-W,3,2.303723419563618,2.3137266925538102,0.23384517518743853,2.0650371304797037,2.53240643565734,0.4673693051776362,2.189381911516757,2.423066564105575,0.23368465258881788
169,S-Zr,5,2.1557700320301922,2.2055035897834347,0.8525333441229817,0.734658550553565,2.8850604558188024,2.1504019052652374,2.2055035897834347,2.7481239742117243,0.5426203844282895
170,Sb-Se,6,2.326108823104564,2.2836730349672685,0.3501460923980247,1.9676903379046289,2.856423867293686,0.8887335293890573,2.036066619289489,2.5296643958150433,0.49359777652555437
