,natoms,thickness,number,lgnum,energy,hform,ehull,minhessianeig,gap,gap_dir,gap_dir_nosoc,vbm,cbm,efermi,evac,evacdiff,emass_cbm,emass_vbm,gap_hse,gap_dir_hse,vbm_hse,cbm_hse,efermi_hse,gap_dir_gw,vbm_gw,cbm_gw,efermi_gw,dipz,alphax,alphay,alphaz,alphax_el,alphay_el,alphaz_el,alphax_lat,alphay_lat,alphaz_lat,plasmafrequency_x,plasmafrequency_y,dE_zx,dE_zy,E_B,gap_gw
evac,0.2544175517498458,0.5515072630991291,0.18628013177716565,0.18249215881235265,-0.4512149689915054,0.0012832696356146877,-0.03027523805620791,-0.015332156670977266,-0.40360579947171576,-0.38774570277991144,-0.39375102508591936,0.31415006787646044,-0.0968718911827094,0.1414560818081103,1.0,-0.07411472258500357,-0.09022626275051142,0.0624186196497101,-0.44405702750597814,-0.4294920417298661,0.379341491763992,-0.08428867584257799,0.1296771314155194,-0.43954771791760633,0.4138556247426806,-0.1529976861375375,0.1918163550701614,-0.024122598826138472,-0.06923371751814895,-0.028649289834437822,0.4409548091226845,0.5150837905300193,0.5137370339854428,0.5950150061861685,-0.07632783480501344,-0.059888326661645605,-0.34657375997168816,0.1779470440686139,0.1779470440686139,0.014883830226493528,0.014615554988229907,-0.3624853535824416,-0.44746653063564096
evacdiff,0.03248966990097222,0.16935675467465247,-0.03506835007387772,-0.03576207288573738,0.20186912804090767,0.0918941040090245,-0.09403917491053976,0.012686478504723804,-0.01085294785271115,0.004368480639574098,0.09352690553624242,-0.15916231200949285,-0.19108132701045966,-0.20417085601269894,-0.07411472258500357,1.0,0.11136319515646292,-0.1318165533925971,-0.02532787695542888,-0.0049774716605279,-0.14061748639520133,-0.22355738618611176,-0.21585861102817333,-0.011099284534568626,-0.13934958170755327,-0.24251556372855804,-0.22406867228744506,0.9872037837390814,0.007455489566469935,0.06143530150471872,-0.008913130778510192,-0.053312387922635006,-0.05292324204444207,-0.003160972710583093,0.008609567455543489,0.06707328230650587,0.1041174646263372,-0.009371813335520517,-0.009371813335520517,-0.0031873780513190938,-0.0032259495218015374,-0.03869153846989585,-0.023923108362859262
emass_cbm,-0.1423238957665483,0.01443917002056945,0.0778121169097893,0.06611146001728498,0.027477907004868622,-0.14532058616621868,0.01707910301568941,-0.021434652478527477,0.04140393949886148,0.03747453971500229,0.08556559970219393,-0.1188920676925838,-0.08740855306941747,-0.12215632075668484,-0.09022626275051142,0.11136319515646292,1.0,0.08467357786909233,0.0793060214637967,0.07386344326703767,-0.10498376530913539,-0.03490766914288509,-0.04689517258008237,0.049005982651759046,-0.09762818836370141,-0.053580962257891634,-0.02173917021361306,0.11601837919295431,-0.06022854161578047,-0.08884149488620693,-0.028818215189362006,-0.06612397627072751,-0.06956164859917595,-0.04796929878818738,-0.05812488843930488,-0.08043184300949559,0.16447739925958088,-0.040204509083049955,-0.040204509083049955,0.02515353290874478,0.025305905280454614,0.16915677685066255,0.05224348492966864
emass_vbm,0.07355152277980898,0.10934839513361319,0.1250947732252538,0.1213048674871236,-0.13146352709573464,-0.1803465909446846,0.17434349861504236,-0.01284758041803521,0.19021764002506655,0.1728043833908226,0.13275933447897453,-0.20514218556775748,-0.01783303872370937,-0.13737495191377555,0.0624186196497101,-0.1318165533925971,0.08467357786909233,1.0,0.23096126582065954,0.20790979511272117,-0.22255861494070842,0.011174309668795119,-0.02218625079884861,0.18576885618612277,-0.19365521848199777,0.056370638644170655,-0.0718928494804778,-0.11939036177992185,-0.01243211959363256,-0.04988848827571236,0.05306570029683784,0.03840189693583325,0.035373507765424174,-0.008958721501967394,-0.014743606299501067,-0.06021732908299673,0.18494856990979147,-0.006322661190084573,-0.0063226611900845725,-0.015118091758751898,-0.015020582299242748,0.28319424962120116,0.2001350460800294
gap_hse,-0.1514241108254388,-0.23514094824063406,0.12786123063162014,0.14217681680337127,0.12716226309102852,-0.5522564056757303,-0.11048463541692309,-0.10367963337391975,0.9457959843624084,0.925977701358251,0.8803244858097156,-0.6569401326201175,0.3160981910257847,-0.2331747162268046,-0.44405702750597814,-0.02532787695542888,0.0793060214637967,0.23096126582065954,1.0,0.9843648573065661,-0.7235606061840212,0.36602692977750445,-0.09845135943951261,0.9513557345446998,-0.767195714731001,0.5134953836795854,-0.2221150568067738,-0.04418042474241104,-0.0956142822680093,-0.15690170586495608,-0.2698629669343799,-0.4804858398825494,-0.4767302690410653,-0.44893933460640695,-0.08754831233319642,-0.12405575507325335,0.6227165713627316,-0.08172772356305232,-0.08172772356305232,0.00034266920432411897,0.000246037273096626,0.7791130847699957,0.965996007672085
gap_dir_hse,-0.1727396529196925,-0.23712061904770773,0.13964204621021278,0.15120110643959986,0.11794318409889352,-0.5895226809835008,-0.13709940416136857,-0.09960773218818252,0.9301888478467164,0.9422209799696442,0.8897523944744542,-0.6531804750302482,0.30291963102098807,-0.23811312621996708,-0.4294920417298661,-0.0049774716605279,0.07386344326703767,0.20790979511272117,0.9843648573065661,1.0,-0.7203258627493492,0.34941304047584193,-0.1059817249079586,0.9626250279480981,-0.767763549278984,0.4986175958358203,-0.23141884075367167,-0.027430726976097636,-0.1091857296948021,-0.1759013913359323,-0.281704852581645,-0.5047744301571597,-0.5020941246680699,-0.45719585211705666,-0.10077734239133901,-0.1416578407137793,0.6251325930499427,-0.09126454445636133,-0.09126454445636131,0.0010568797705564203,0.0009478424366956493,0.7797924998856763,0.957651187840864
vbm_hse,0.1534732501579156,0.21076051288655887,-0.1748246967514604,-0.1758043573461081,-0.07623327918266216,0.42322021380117575,-0.03613798266237148,0.27083387282305604,-0.6213221043153863,-0.615557665212206,-0.6192324474602201,0.9764334595711532,0.4050487796581016,0.8292678742538819,0.379341491763992,-0.14061748639520133,-0.10498376530913539,-0.22255861494070842,-0.7235606061840212,-0.7203258627493492,1.0,0.37751702505490253,0.7083936878397877,-0.6970969925660934,0.9562109209425634,0.20215323652819023,0.7695568251166859,-0.1253622840349689,-0.024781452667471154,0.08060561733347031,0.21698329607441788,0.4214595879714023,0.42479533666397107,0.4002704079610606,-0.031993148698408115,0.05047227551433835,-0.4912879573559458,0.01569287454718724,0.01569287454718724,0.0225798430549741,0.022489641446433232,-0.6465319281574661,-0.703933160585178
cbm_hse,0.003772100482755083,-0.03130194706101719,-0.06416816108201816,-0.0462842057462415,0.06781433004738957,-0.17028396892941453,-0.1969389164641261,0.2260472103956751,0.43114799684801,0.41233283333223464,0.3461335611249024,0.43511787465004365,0.9701374113760919,0.8052025653424797,-0.08428867584257799,-0.22355738618611176,-0.03490766914288509,0.011174309668795119,0.36602692977750445,0.34941304047584193,0.37751702505490253,1.0,0.82297577637652,0.33644743574942026,0.2599433155860399,0.96140863257169,0.7395374151546875,-0.22828161873253866,-0.16167917183624836,-0.10181580343300478,-0.06949291839691144,-0.07637557588932414,-0.06684015111355168,-0.06262221578191243,-0.16058121816351273,-0.09837765246460839,0.1730396918227499,-0.08848282740981457,-0.08848282740981456,0.03090166640499797,0.03065042309118212,0.17355092529683666,0.3468712697002901
efermi_hse,0.07755805514590129,0.07182330605102258,-0.12492488049589522,-0.11525800886393277,-0.03555086466706377,0.04623291238672171,-0.1240966454612903,0.2842671793155056,0.014582561382395855,0.00788806613717737,-0.04045389718797764,0.7229314369707929,0.8291966595024484,0.906005211826354,0.1296771314155194,-0.21585861102817333,-0.04689517258008237,-0.02218625079884861,-0.09845135943951261,-0.1059817249079586,0.7083936878397877,0.82297577637652,1.0,-0.09419317829121834,0.5997596634956559,0.7117521361738917,0.8838932002898955,-0.21079917978591478,-0.10776965932612165,-0.016166364437907206,0.06254196771737244,0.18691721133990744,0.19470291505665227,0.14327915762060212,-0.11071781292728716,-0.029122102021871307,-0.041627463623688445,-0.03901708566431596,-0.03901708566431596,0.029389989840347224,0.029176137688385503,-0.18316662012613052,-0.0941895732485244
gap_dir_gw,-0.18003434694837142,-0.21182773093371324,0.15809692434773626,0.16598404337678752,0.16914879347201164,-0.5866420150684762,-0.1214334761268142,-0.09164890559943148,0.9541835332136428,0.9663641597464291,0.9288390234062947,-0.659542534663243,0.322526240763779,-0.231242759974243,-0.43954771791760633,-0.011099284534568626,0.049005982651759046,0.18576885618612277,0.9513557345446998,0.9626250279480981,-0.6970969925660934,0.33644743574942026,-0.09419317829121834,1.0,-0.8033541780662632,0.5053898865458032,-0.2501027076975089,-0.03272883564154121,-0.10691547082796041,-0.17260851507743263,-0.25746706749712595,-0.5093478174015779,-0.5056483947106762,-0.4482479586535961,-0.09880329543223029,-0.13959237030228866,0.6652677771356933,-0.08739960828771808,-0.08739960828771806,0.03735030790583687,0.03711355802544914,0.7292170427284748,0.9923409024318702
